@epoch0   Train loss:13513.21337890625   Valid loss:13185.874348958334    TIME:19.67277956008911
@epoch1   Train loss:13165.42236328125   Valid loss:13064.936197916666    TIME:18.22639751434326
@epoch2   Train loss:12767.085774739584   Valid loss:12026.089518229166    TIME:18.05514931678772
@epoch3   Train loss:11686.325358072916   Valid loss:11340.91015625    TIME:18.103859424591064
@epoch4   Train loss:11062.918294270834   Valid loss:10753.446940104166    TIME:18.335529327392578
@epoch5   Train loss:10401.574544270834   Valid loss:9697.910807291666    TIME:18.248880863189697
@epoch6   Train loss:9515.952962239584   Valid loss:9135.66796875    TIME:18.256383657455444
@epoch7   Train loss:8740.819010416666   Valid loss:8299.620442708334    TIME:18.23145580291748
@epoch8   Train loss:8797.8486328125   Valid loss:9566.256510416666    TIME:18.25484824180603
@epoch9   Train loss:9840.523600260416   Valid loss:9728.0625    TIME:19.06734871864319
@epoch10   Train loss:9345.730794270834   Valid loss:12057.408854166666    TIME:18.803969621658325
@epoch11   Train loss:9351.986328125   Valid loss:8838.369140625    TIME:18.799975633621216
@epoch12   Train loss:8677.85595703125   Valid loss:8497.892578125    TIME:18.536229133605957
@epoch13   Train loss:8519.060872395834   Valid loss:8372.723958333334    TIME:18.4088716506958
@epoch14   Train loss:8399.20703125   Valid loss:8278.814453125    TIME:18.31741762161255
@epoch15   Train loss:8049.831298828125   Valid loss:7996.914713541667    TIME:18.360373497009277
@epoch16   Train loss:7811.62548828125   Valid loss:7686.894205729167    TIME:18.959003925323486
@epoch17   Train loss:8092.249918619792   Valid loss:8311.556640625    TIME:18.488861799240112
@epoch18   Train loss:8527.463053385416   Valid loss:8348.514973958334    TIME:18.356022834777832
@epoch19   Train loss:8384.285970052084   Valid loss:8209.108723958334    TIME:18.33749532699585
@epoch20   Train loss:8019.230631510417   Valid loss:8033.614908854167    TIME:18.45966601371765
@epoch21   Train loss:8103.784423828125   Valid loss:8273.473307291666    TIME:18.662755727767944
@epoch22   Train loss:7996.805745442708   Valid loss:7936.513997395833    TIME:18.751197338104248
@epoch23   Train loss:7761.604736328125   Valid loss:7747.243326822917    TIME:18.482272386550903
@epoch24   Train loss:7638.406412760417   Valid loss:7623.7158203125    TIME:18.63170886039734
@epoch25   Train loss:7666.38330078125   Valid loss:7574.0400390625    TIME:19.061795234680176
@epoch26   Train loss:7621.081461588542   Valid loss:7546.675618489583    TIME:19.23197603225708
@epoch27   Train loss:7515.213134765625   Valid loss:7482.39111328125    TIME:18.73796820640564
@epoch28   Train loss:7856.673421223958   Valid loss:8878.211588541666    TIME:18.669358491897583
@epoch29   Train loss:8937.966145833334   Valid loss:9051.833333333334    TIME:18.54957127571106
@epoch30   Train loss:8752.745442708334   Valid loss:8682.484375    TIME:18.998976945877075
